hhid,region,town,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract
1008,Huánuco-Quisqui,Pampa Verde,1,1,0,1,0,2,1
1021,Huánuco-Quisqui,Pampa Verde,1,1,0,1,0,2,1
1031,Huánuco-Quisqui,Huachog,2,2,0,2,0,3,1
1049,Huánuco-Quisqui,Huancapallac,2,1,0,2,0,1,1
1052,Huánuco-Quisqui,Huancapallac,6,1,1,5,0,3,1
1055,Huánuco-Quisqui,Huancapallac,3,2,0,3,0,2,1
1058,Huánuco-Quisqui,Huancapallac,2,1,0,2,0,1,1
1066,Huánuco-Quisqui,Huancapallac,3,1,0,3,0,1,2
1067,Huánuco-Quisqui,Huancapallac,2,1,0,2,0,1,1
1068,Huánuco-Quisqui,Huancapallac,4,2,0,4,0,3,2
1070,Huánuco-Quisqui,Marabamba,1,1,0,1,0,2,1
1071,Huánuco-Quisqui,Marabamba,1,1,0,1,0,1,1
1073,Huánuco-Quisqui,Marabamba,1,1,0,1,0,1,1
1117,Huánuco-Quisqui,Pucuchinche,4,2,0,4,0,3,4
1122,Huánuco-Quisqui,Mitocucho,1,1,0,1,0,2,1
1124,Huánuco-Quisqui,Mitocucho,5,2,0,5,0,3,1
1125,Huánuco-Quisqui,Mitocucho,7,3,0,7,0,2,1
1126,Huánuco-Quisqui,Mitocucho,11,4,0,11,0,6,3
1127,Huánuco-Quisqui,Mitocucho,5,2,0,5,0,2,1
1128,Huánuco-Quisqui,Mitocucho,4,1,0,4,0,2,1
1131,Huánuco-Quisqui,Punchao Chico,1,1,0,1,0,1,1
1132,Huánuco-Quisqui,Punchao Chico,2,1,0,2,0,1,1
1136,Huánuco-Quisqui,Punchao Chico,4,3,0,4,0,2,3
1141,Huánuco-Quisqui,Punchao Chico,3,1,0,3,0,1,1
1142,Huánuco-Quisqui,Punchao Chico,6,3,0,6,0,2,1
1143,Huánuco-Quisqui,Punchao Chico,7,2,0,7,0,2,1
1145,Huánuco-Quisqui,Punchao Chico,4,1,0,4,0,1,1
1149,Huánuco-Quisqui,Punchao Chico,2,1,0,2,0,2,1
1150,Huánuco-Quisqui,Punchao Chico,2,2,0,2,0,3,1
1151,Huánuco-Quisqui,Punchao Chico,2,2,0,2,0,1,1
1154,Huánuco-Quisqui,Punchao Chico,2,2,0,2,0,1,1
1156,Huánuco-Quisqui,San Pedro De Cani,5,2,0,5,0,1,1
1157,Huánuco-Quisqui,San Pedro De Cani,5,3,0,5,0,2,1
1159,Huánuco-Quisqui,San Pedro De Cani,6,2,0,6,0,2,1
1160,Huánuco-Quisqui,San Pedro De Cani,2,3,0,2,0,1,3
1166,Huánuco-Quisqui,San Pedro De Cani,3,5,0,3,0,3,1
1170,Huánuco-Quisqui,San Pedro De Cani,6,2,0,6,0,3,1
1171,Huánuco-Quisqui,San Pedro De Cani,3,2,1,3,0,1,2
1172,Huánuco-Quisqui,San Pedro De Cani,10,3,0,10,0,3,2
1175,Huánuco-Quisqui,San Pedro De Cani,7,4,0,7,0,2,1
1176,Huánuco-Quisqui,San Pedro De Cani,1,1,0,1,0,1,1
1178,Huánuco-Quisqui,San Pedro De Cani,1,1,0,1,0,2,1
1179,Huánuco-Quisqui,San Pedro De Cani,5,1,0,5,0,1,2
1183,Huánuco-Quisqui,San Pedro De Cani,5,1,0,5,0,1,1
1185,Huánuco-Quisqui,San Pedro De Cani,5,2,0,5,0,2,1
1201,Huánuco-Quisqui,San Pablo de las Lanjas,5,2,0,5,0,2,1
1203,Huánuco-Quisqui,San Pablo de las Lanjas,4,1,0,4,0,2,1
1206,Huánuco-Quisqui,San Pablo de las Lanjas,3,4,0,3,0,2,1
1207,Huánuco-Quisqui,San Pablo de las Lanjas,4,2,0,4,0,1,1
1209,Huánuco-Quisqui,San Pablo de las Lanjas,9,3,0,9,0,3,2
1210,Huánuco-Quisqui,San Pablo de las Lanjas,7,2,0,7,0,2,1
1211,Huánuco-Quisqui,San Pablo de las Lanjas,5,2,0,5,0,3,1
1214,Huánuco-Quisqui,San Pablo de las Lanjas,4,3,0,4,0,2,1
1218,Huánuco-Quisqui,Raccha Cedrón,3,3,0,3,0,4,1
1219,Huánuco-Quisqui,Raccha Cedrón,4,5,0,4,0,1,1
1221,Huánuco-Quisqui,Raccha Cedrón,1,3,0,1,0,1,1
1223,Huánuco-Quisqui,Raccha Cedrón,3,5,0,3,0,5,1
1224,Huánuco-Quisqui,Raccha Cedrón,2,2,0,2,0,3,1
1227,Huánuco-Quisqui,Raccha Cedrón,3,1,0,3,0,3,1
1229,Huánuco-Quisqui,Raccha Cedrón,5,2,0,5,0,3,1
1235,Huánuco-Quisqui,Rodeo de Margo,4,3,0,4,0,3,1
1238,Huánuco-Quisqui,Rodeo de Margo,2,2,0,2,0,2,1
1240,Huánuco-Quisqui,Rodeo de Margo,2,1,0,2,0,2,1
1241,Huánuco-Quisqui,Rodeo de Margo,3,1,0,3,0,1,1
1242,Huánuco-Quisqui,San Pablo de Mitotambo,9,2,0,9,0,5,1
1243,Huánuco-Quisqui,San Pablo de Mitotambo,5,2,0,5,0,2,1
1245,Huánuco-Quisqui,San Pablo de Mitotambo,3,1,0,3,0,2,1
1247,Huánuco-Quisqui,San Pablo de Mitotambo,3,2,0,3,0,2,1
1248,Huánuco-Quisqui,San Pablo de Mitotambo,9,2,0,9,0,3,1
1249,Huánuco-Quisqui,San Pablo de Mitotambo,11,3,0,11,0,4,2
1250,Huánuco-Quisqui,San Pablo de Mitotambo,2,2,0,2,0,1,1
1256,Huánuco-Quisqui,San Pablo de Mitotambo,4,4,0,4,0,3,1
1258,Huánuco-Quisqui,San Pablo de Mitotambo,11,2,0,11,0,1,3
1259,Huánuco-Quisqui,San Pablo de Mitotambo,6,2,1,6,0,2,2
1260,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,2,1,0,2,0,4,1
1261,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,8,3,0,8,0,3,1
1262,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,8,3,0,8,0,3,1
1263,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,5,2,0,5,0,3,1
1265,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,4,2,0,4,1,1,1
1266,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,1,3,0,1,0,1,1
1268,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,4,2,0,4,0,1,1
1273,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,7,2,0,7,0,2,1
1274,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,7,2,0,7,0,2,1
1275,Huánuco-Quisqui,Tres de Mayo de Huayllacayan,7,2,0,7,0,4,1
1283,Amarilis,NA,1,1,0,1,0,2,1
1285,Amarilis,NA,1,2,0,1,0,2,3
1295,Amarilis,NA,3,5,0,3,0,3,1
1296,Amarilis,NA,1,1,0,1,0,1,1
1297,Amarilis,NA,4,1,0,4,0,1,1
1298,Amarilis,NA,5,1,0,5,0,3,1
1302,Amarilis,NA,1,1,0,1,0,1,1
1303,Amarilis,NA,1,1,0,1,0,1,1
1305,Amarilis,NA,1,3,0,1,0,1,1
1306,Amarilis,NA,1,2,0,1,0,1,5
1307,Amarilis,NA,4,2,0,4,0,3,1
1313,Amarilis,NA,1,1,0,1,0,2,1
1326,Amarilis,NA,7,1,0,7,0,3,1
1332,Amarilis,NA,1,1,0,1,0,1,1
1333,Amarilis,NA,2,2,0,2,0,1,1
1334,Amarilis,NA,2,2,0,2,0,2,1
