region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,headage,numchildren,age,num_emp,area,ch,ced,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1008,Huánuco-Quisqui,1,1,0,1,0,2,1,0,1,4,0,0,4,65,0,19,1,3,0,0,1,1,3,1,4,6
1021,Huánuco-Quisqui,1,1,0,1,0,2,1,0,3,4,0,0,7,52,0,19,1,2,0,0,1,1,2,0,0,0
1031,Huánuco-Quisqui,2,2,0,2,0,3,1,0,2,0,0,1,5,50,0,49,2,0.1471,120,37.200001,1,1,1,7,1,8
1049,Huánuco-Quisqui,2,1,0,2,0,1,1,0,1,2,0,1,5,45,0,42,2,2.0594001,3042,385.95001,2,2,2,9,0,9
1052,Huánuco-Quisqui,6,1,1,5,0,3,1,1,1,1,0,0,2,49,1,49,1,2,750,0,2,1,1,9,0,9
1055,Huánuco-Quisqui,3,2,0,3,0,2,1,0,2,3,1,1,4,41,1,37,2,1,250,31,2,1,1,7,6,13
1058,Huánuco-Quisqui,2,1,0,2,0,1,1,0,1,1,0,1,9,46,0,30,3,5.2941999,10,0,2,2,1,0,0,0
1066,Huánuco-Quisqui,3,1,0,3,0,1,2,0,0,3,1,1,9,64,1,27,1,0,0,0,1,1,0,9,0,9
1067,Huánuco-Quisqui,2,1,0,2,0,1,1,0,1,1,0,0,3,39,0,39,2,2.0594001,1050,0,3,3,3,8,0,8
1068,Huánuco-Quisqui,4,2,0,4,0,3,2,0,0,0,0,0,4,40,0,31,1,1.1768,575,0,2,1,2,0,4,4
1070,Huánuco-Quisqui,1,1,0,1,0,2,1,1,1,4,0,1,7,41,0,41,1,0.055,420,15.5,2,2,3,0,2,2
1071,Huánuco-Quisqui,1,1,0,1,0,1,1,1,0,0,0,1,6,44,2,44,3,0.30000001,0,0,1,1,0,0,6,6
1073,Huánuco-Quisqui,1,1,0,1,0,1,1,0,1,4,0,0,3,53,1,35,1,0.58840001,0,0,2,1,1,0,4,4
1117,Huánuco-Quisqui,4,2,0,4,0,3,4,0,1,4,0,1,10,57,0,19,2,2,4250,697.5,1,1,4,0,4,4
1122,Huánuco-Quisqui,1,1,0,1,0,2,1,0,1,4,0,0,2,22,0,27,1,0.2942,0,0,1,1,0,0,2,2
1124,Huánuco-Quisqui,5,2,0,5,0,3,1,0,1,3,0,0,3,58,0,46,2,2,1250,179.8,1,1,3,6,3,11
1125,Huánuco-Quisqui,7,3,0,7,0,2,1,0,1,0,0,0,4,66,0,46,1,0.3242,975,0,2,2,2,4,5,9
1126,Huánuco-Quisqui,11,4,0,11,0,6,3,0,1,0,1,1,3,40,0,43,1,0.375,1800,465,2,2,3,3,1,4
1127,Huánuco-Quisqui,5,2,0,5,0,2,1,0,1,2,0,0,4,35,0,33,1,1.5,2300,139.50002,2,2,1,0,0,0
1128,Huánuco-Quisqui,4,1,0,4,0,2,1,0,1,2,0,0,5,46,1,40,1,4,8980,387.965,2,1,8,0,0,0
1131,Huánuco-Quisqui,1,1,0,1,0,1,1,1,3,1,0,1,3,49,0,49,2,0.58840001,0,0,1,1,0,11,2,15
1132,Huánuco-Quisqui,2,1,0,2,0,1,1,0,2,3,0,0,4,49,0,36,1,1.7652,1160,297.60001,2,2,5,6,5,11
1136,Huánuco-Quisqui,4,3,0,4,0,2,3,0,1,1,1,1,4,52,0,42,2,2.25,1020,81.375,4,4,3,11,6,17
1141,Huánuco-Quisqui,3,1,0,3,0,1,1,1,2,3,0,1,3,26,0,26,2,0.0049999999,100,0,1,1,1,4,0,4
1142,Huánuco-Quisqui,6,3,0,6,0,2,1,0,1,4,0,1,8,53,2,47,1,0,0,0,1,1,0,11,5,16
1143,Huánuco-Quisqui,7,2,0,7,0,2,1,0,0,4,0,0,6,50,1,36,2,2.1768,0,0,3,1,1,15,6,25
