a00a_1|a00a_2b|aa|a01|a02|a03|a04|a05|a06|a07|a07_1|a07_2|a07_3|ea|e01|e02|ea2|q01|q02|q03|q03_1|q04|q04_1|q04_2|q04_3|q04_4|q04_5|q04_6|q04_7|q04_8|q04_9|q05|q05_1|q05_2|q05_3|q06|q06_1|q06_2|q06_3|q06_4|q06_5|q06_6|q06_7|q06_8|q06_9|q06_10|q06_1_1|q07|q08|q09|q09_1|q09_2|q09_3|q09_4|q09_5|q09_6|q09_7|q09_8|q10|q10_1|q10_2|q10_3|q10_4|q10_5|q10_6|q10_7
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Callampa|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Chilipruta|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Chulkilla, chulquina|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Cushuro, cushuru|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Gongapa, jongapa|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Jaramullaca|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Monte carne|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Monte papaya|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Monte piña|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Monte purupuru|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Mullaca|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Paku Paku|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Perla Perla|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Pucumpuy|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Puczato|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Puru Puru|Si|A|Si|No|No|No|No|No|No|No|No|B|No|Si|No|A|Si|No|No|No|No|No|No|No|No|No||Disminuido|No||||||||||G|No|No|No|No|No|No|Si
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Shaca Shaca|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Shillanco|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Shiraco|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Tucllish|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Ucho ucho|No|||||||||||||||||||||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Yuyo, ñapus|No|||||||||||||||||||||||||||||||||||||||||||||
