a00a_1|a00a_2b|aa|a01|a02|a03|a04|a05|a06|a07|a07_1|a07_2|a07_3|ea|e01|e02|ea2|q01|q11|q12|q12_1|q13|q13_1|q13_2|q13_3|q13_4|q13_5|q13_6|q13_7|q13_8|q13_9|q14|q14_1|q14_2|q14_3|q15|q15_1|q15_2|q15_3|q15_4|q15_5|q15_6|q15_7|q15_8|q15_9|q15_10|q15_1_1|q16
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Achu|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Añuje|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Carachupa|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Cuy de monte, purun jaca|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Muca|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Perdiz|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Picuro|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Sajino|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Trucha (pesca de río)|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Venado, luicho|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Viscacha|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Zorrillo|No|||||||||||||||||||||||||||
A|1001|Continuar|calle principal de pampa verde|0|76.20454|09.88163|1859|285|Huánuco-Quisqui|Pampa Verde|||Continuar|3|0|Continuar|1|Si|Zorrillo chancho|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Achu|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Añuje|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Carachupa|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Cuy de monte, purun jaca|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Muca|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Perdiz|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Picuro|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Sajino|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Trucha (pesca de río)|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Venado, luicho|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Viscacha|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Zorrillo|No|||||||||||||||||||||||||||
A|1008|Continuar|carretera central de huachog|0|76.20413|09.88153|1860|286|Huánuco-Quisqui|Pampa Verde|||Continuar|4|0|Continuar|1|Si|Zorrillo chancho|No|||||||||||||||||||||||||||
F|1014|Continuar|fachog|998|76.19921|09.87492|1858|113|Huánuco-Quisqui|Huachog|||Continuar|4|1|Continuar|2|Si|Achu|No|||||||||||||||||||||||||||
F|1014|Continuar|fachog|998|76.19921|09.87492|1858|113|Huánuco-Quisqui|Huachog|||Continuar|4|1|Continuar|2|Si|Añuje|No|||||||||||||||||||||||||||
