item|mean|sd|median|min|max|n|cluster
n_ecosystems|1.99115044247788|1.05608052203233|2|1|7|339|Total
Sell|0.0442477876106195|0.232914916950354|0|0|2|339|Total
autoconsumption|3.45722713864307|2.32056014554327|3|1|11|339|Total
O_uses|0.00294985250737463|0.0543125446593568|0|0|1|339|Total
n_preparations|1.88495575221239|0.982860928384691|2|1|6|339|Total
n_Agr_pract|1.48377581120944|1.28332589237512|1|1|8|339|Total
region|NA|NA|NA|NA|NA|NA|NA
headsex|NA|NA|NA|NA|NA|NA|NA
elcsa_cat|NA|NA|NA|NA|NA|NA|NA
edu|NA|NA|NA|NA|NA|NA|NA
assistance|NA|NA|NA|NA|NA|NA|NA
nonaginc|NA|NA|NA|NA|NA|NA|NA
hhsize|5.00294985250738|1.83731622689077|5|1|14|339|Total
headage|42.6106194690265|12.0197817436682|41|20|78|339|Total
numchildren|0.728613569321534|0.759617718355872|1|0|4|339|Total
age|34.4631268436578|8.49648188340949|35|18|49|339|Total
num_emp|1.5811209439528|0.693416151169026|1|1|4|339|Total
area|1.96179484005516|3.96592102711059|1|0|48|339|Total
ch|4182.01153330354|6397.34841829744|1850|0|46500|339|Total
ced|608.722925713864|1209.57567936021|173.60001|0|11160|339|Total
l_fields|1.85545722713864|0.916510949149344|2|1|6|339|Total
m_fields|1.72566371681416|0.876191877447897|2|1|6|339|Total
cd_field|2.45722713864307|1.63008856759264|2|0|10|339|Total
cd_garden|4.42772861356932|3.83497581479936|4|0|16|339|Total
cd_tree|1.88200589970501|2.20494350179748|1|0|10|339|Total
cd_gardentree|6.5811209439528|5.1740474279914|6|0|25|339|Total
n_ecosystems3|1.9646017699115|0.999367688839718|2|1|7|113|1
Sell3|0.0530973451327434|0.261885606317835|0|0|2|113|1
autoconsumption3|3.53982300884956|2.42028406770661|3|1|11|113|1
O_uses3|0.00884955752212389|0.0940720868383597|0|0|1|113|1
n_preparations3|1.95575221238938|1.00347058938834|2|1|6|113|1
n_Agr_pract3|1.20353982300885|0.825479211854266|1|1|8|113|1
region3|NA|NA|NA|NA|NA|NA|NA
headsex3|NA|NA|NA|NA|NA|NA|NA
elcsa_cat3|NA|NA|NA|NA|NA|NA|NA
edu3|NA|NA|NA|NA|NA|NA|NA
assistance3|NA|NA|NA|NA|NA|NA|NA
nonaginc3|NA|NA|NA|NA|NA|NA|NA
hhsize3|4.93805309734513|1.91462037378874|5|1|14|113|1
headage3|44.5132743362832|11.3287836979904|45|22|77|113|1
numchildren3|0.619469026548673|0.747837167995581|0|0|2|113|1
age3|35.8407079646018|9.14912795579195|37|18|49|113|1
num_emp3|1.36283185840708|0.518616754017269|1|1|3|113|1
area3|2.03715530920354|3.05489846538222|1.1768|0|26|113|1
ch3|3396.33274159292|4650.67220965869|1550|0|28500|113|1
ced3|613.447130619469|1114.85149171369|179.8|0|7630.6499|113|1
l_fields3|1.76106194690265|0.909025540690864|2|1|5|113|1
m_fields3|1.60176991150442|0.871573116030204|1|1|5|113|1
cd_field3|2.64601769911504|1.79244622345265|3|0|10|113|1
cd_garden3|3.76106194690265|4.15390164329871|3|0|16|113|1
cd_tree3|1.50442477876106|1.99160691494739|1|0|10|113|1
cd_gardentree3|5.46017699115044|5.28480875148978|4|0|25|113|1
n_ecosystems1|2.23008849557522|1.14180972862571|2|1|7|113|2
Sell1|0.0353982300884956|0.185607282214694|0|0|1|113|2
autoconsumption1|4.13274336283186|2.51603580196379|4|1|11|113|2
O_uses1|0|0|0|0|0|113|2
n_preparations1|1.99115044247788|1.03073807831745|2|1|5|113|2
n_Agr_pract1|1.92035398230089|1.79354792500564|1|1|8|113|2
region1|NA|NA|NA|NA|NA|NA|NA
headsex1|NA|NA|NA|NA|NA|NA|NA
elcsa_cat1|NA|NA|NA|NA|NA|NA|NA
edu1|NA|NA|NA|NA|NA|NA|NA
assistance1|NA|NA|NA|NA|NA|NA|NA
nonaginc1|NA|NA|NA|NA|NA|NA|NA
hhsize1|5.11504424778761|1.85044498697215|5|1|12|113|2
headage1|39.3893805309735|11.2412137342893|38|23|73|113|2
numchildren1|0.831858407079646|0.754778288960888|1|0|4|113|2
age1|34.2389380530973|8.07915564926539|35|19|49|113|2
num_emp1|1.23008849557522|0.500158002847995|1|1|3|113|2
area1|1.6969482260177|2.66048682198752|1|0|20|113|2
ch1|5906.30318566372|8326.58248188896|2925|0|46500|113|2
ced1|749.288793371681|1424.65224241627|248|0|11160|113|2
l_fields1|1.97345132743363|0.86044192332394|2|1|4|113|2
m_fields1|1.85840707964602|0.833101526967239|2|1|4|113|2
cd_field1|2.36283185840708|1.52983394817084|2|0|6|113|2
cd_garden1|5.07079646017699|3.38250967203583|5|0|15|113|2
cd_tree1|2.25663716814159|2.35576330161777|1|0|9|113|2
cd_gardentree1|7.58407079646018|4.74101718990167|7|0|21|113|2
n_ecosystems2|1.7787610619469|0.979563617075921|2|1|6|113|3
Sell2|0.0442477876106195|0.246017585425944|0|0|2|113|3
autoconsumption2|2.69911504424779|1.73660668583577|2|1|9|113|3
O_uses2|0|0|0|0|0|113|3
n_preparations2|1.70796460176991|0.893242647496864|1|1|4|113|3
n_Agr_pract2|1.32743362831858|0.88077155579747|1|1|6|113|3
region2|NA|NA|NA|NA|NA|NA|NA
headsex2|NA|NA|NA|NA|NA|NA|NA
elcsa_cat2|NA|NA|NA|NA|NA|NA|NA
edu2|NA|NA|NA|NA|NA|NA|NA
assistance2|NA|NA|NA|NA|NA|NA|NA
nonaginc2|NA|NA|NA|NA|NA|NA|NA
hhsize2|4.95575221238938|1.75453178802664|5|2|10|113|3
headage2|43.929203539823|12.8617072948563|43|20|78|113|3
numchildren2|0.734513274336283|0.767855305322236|1|0|3|113|3
age2|33.3097345132743|8.09770651615287|35|19|49|113|3
num_emp2|2.15044247787611|0.657664142168178|2|1|4|113|3
area2|2.15128098494425|5.56265540158461|0.88260001|0|48|113|3
ch2|3243.39867265398|5294.98860872355|1480|0|31125|113|3
ced2|463.432853150442|1049.5537351508|80.599998|0|7130|113|3
l_fields2|1.83185840707965|0.971951781461779|2|1|6|113|3
m_fields2|1.71681415929204|0.910935807569342|1|1|6|113|3
cd_field2|2.36283185840708|1.55300369619797|2|0|6|113|3
cd_garden2|4.45132743362832|3.8498403270286|4|0|13|113|3
cd_tree2|1.88495575221239|2.20693797403528|1|0|10|113|3
cd_gardentree2|6.69911504424779|5.29973880042385|6|0|23|113|3
