item|mean|sd|median|min|max|n|cluster
n_ecosystems|1.99115044247788|1.05608052203233|2|1|7|339|Total
autoconsumption|3.45722713864307|2.32056014554327|3|1|11|339|Total
n_preparations|1.88495575221239|0.982860928384691|2|1|6|339|Total
n_Agr_pract|1.48377581120944|1.28332589237512|1|1|8|339|Total
headsex|0.15929203539823|0.366489140634002|0|0|1|339|Total
elcsa_cat|NA|NA|NA|NA|NA|NA|NA
edu|NA|NA|NA|NA|NA|NA|NA
assistance|0.12094395280236|0.326544114905774|0|0|1|339|Total
nonaginc|0.321533923303835|0.467755569987241|0|0|1|339|Total
hhsize|5.00294985250738|1.83731622689077|5|1|14|339|Total
headage|42.6106194690265|12.0197817436682|41|20|78|339|Total
numchildren|0.728613569321534|0.759617718355872|1|0|4|339|Total
age|34.4631268436578|8.49648188340949|35|18|49|339|Total
num_emp|1.5811209439528|0.693416151169026|1|1|4|339|Total
area|1.96179484005516|3.96592102711059|1|0|48|339|Total
ch|4182.01153330354|6397.34841829744|1850|0|46500|339|Total
ced|608.722925713864|1209.57567936021|173.60001|0|11160|339|Total
l_fields|1.85545722713864|0.916510949149344|2|1|6|339|Total
m_fields|1.72566371681416|0.876191877447897|2|1|6|339|Total
cd_field|2.45722713864307|1.63008856759264|2|0|10|339|Total
cd_garden|4.42772861356932|3.83497581479936|4|0|16|339|Total
cd_tree|1.88200589970501|2.20494350179748|1|0|10|339|Total
cd_gardentree|6.5811209439528|5.1740474279914|6|0|25|339|Total
n_ecosystems3|1.875|0.987534923547125|2|1|7|112|1
autoconsumption3|3.125|2.10158670215308|2|1|9|112|1
n_preparations3|1.75|0.854242196177249|2|1|4|112|1
n_Agr_pract3|1.29464285714286|1.0452672649058|1|1|8|112|1
headsex3|0.0357142857142857|0.18641092980036|0|0|1|112|1
elcsa_cat3|NA|NA|NA|NA|NA|NA|NA
edu3|NA|NA|NA|NA|NA|NA|NA
assistance3|0.0803571428571429|0.27306709260846|0|0|1|112|1
nonaginc3|0.0267857142857143|0.162182270310564|0|0|1|112|1
hhsize3|5.20535714285714|2.04955891918036|5|2|14|112|1
headage3|42.4107142857143|12.7509431351783|41|22|75|112|1
numchildren3|0.741071428571429|0.768120858009762|1|0|4|112|1
age3|32.9017857142857|8.34823153461077|33.5|18|49|112|1
num_emp3|1.33035714285714|0.543402574328055|1|1|4|112|1
area3|2.28074240821429|5.28307335034267|1|0.125|48|112|1
ch3|3410.27374910714|4530.50750758832|1875|0|28500|112|1
ced3|476.101181571429|772.810985471575|186|0|4770.8999|112|1
l_fields3|1.74107142857143|0.824681600740396|2|1|4|112|1
m_fields3|1.58035714285714|0.790009611723292|1|1|4|112|1
cd_field3|2.34821428571429|1.65877313519008|2|0|10|112|1
cd_garden3|2.84821428571429|3.35365827262168|2|0|15|112|1
cd_tree3|1.35714285714286|1.8592701409116|1|0|10|112|1
cd_gardentree3|4.33035714285714|4.54881113635011|3|0|25|112|1
n_ecosystems1|1.88679245283019|0.979025314298735|2|1|6|106|2
autoconsumption1|2.97169811320755|2.1401270419336|2|1|10|106|2
n_preparations1|1.79245283018868|0.943317157513092|1|1|5|106|2
n_Agr_pract1|1.31132075471698|0.854826159405077|1|1|6|106|2
headsex1|0.179245283018868|0.385379709138446|0|0|1|106|2
elcsa_cat1|NA|NA|NA|NA|NA|NA|NA
edu1|NA|NA|NA|NA|NA|NA|NA
assistance1|0.19811320754717|0.400471420316814|0|0|1|106|2
nonaginc1|0.971698113207547|0.166621736980807|1|0|1|106|2
hhsize1|4.97169811320755|1.8229100083308|5|2|10|106|2
headage1|44.5188679245283|12.6236596701632|44.5|20|78|106|2
numchildren1|0.716981132075472|0.801839753390166|1|0|3|106|2
age1|34.7358490566038|8.78125914259339|36.5|19|49|106|2
num_emp1|2.19811320754717|0.608195008212313|2|1|4|106|2
area1|1.51302217320472|2.06364312743114|0.88260001|0|14.8|106|2
ch1|3358.34481141415|5579.38590336012|1402.5|0|31125|106|2
ced1|557.196845254717|1282.18698629221|80.987499|0|7630.6499|106|2
l_fields1|1.88679245283019|1.03574913966822|2|1|6|106|2
m_fields1|1.78301886792453|1.01422940000332|2|1|6|106|2
cd_field1|2.36792452830189|1.59955631763855|2|0|6|106|2
cd_garden1|4.67924528301887|3.85090507558522|4.5|0|13|106|2
cd_tree1|1.83018867924528|2.24020278892105|1|0|10|106|2
cd_gardentree1|6.92452830188679|5.31609973966333|6.5|0|23|106|2
n_ecosystems2|2.1900826446281|1.15696477608998|2|1|7|121|3
autoconsumption2|4.1900826446281|2.4943738345417|4|1|11|121|3
n_preparations2|2.09090909090909|1.09544511501033|2|1|6|121|3
n_Agr_pract2|1.8099173553719|1.67985142987298|1|1|8|121|3
headsex2|0.256198347107438|0.438347761863316|0|0|1|121|3
elcsa_cat2|NA|NA|NA|NA|NA|NA|NA
edu2|NA|NA|NA|NA|NA|NA|NA
assistance2|0.0909090909090909|0.288675134594813|0|0|1|121|3
