"ID"|"n_species"|"n_ecosystems"|"autoconsumption"|"n_preparations"|"n_Agr_pract"|"region"|"headsex"|"elcsa_cat"|"edu"|"assistance"|"nonaginc"|"hhsize"|"headage"|"numchildren"|"age"|"num_emp"|"area"|"ch"|"ced"|"l_fields"|"m_fields"|"cd_field"|"cd_garden"|"cd_tree"|"cd_gardentree"|"clust"
"1008"|1|1|1|2|1|"Huánuco-Quisqui"|FALSE|"1"|"4"|FALSE|FALSE|4|65|0|19|1|3|0|0|1|1|3|1|4|6|"1"
"1021"|1|1|1|2|1|"Huánuco-Quisqui"|FALSE|"3"|"4"|FALSE|FALSE|7|52|0|19|1|2|0|0|1|1|2|0|0|0|"1"
"1031"|2|2|2|3|1|"Huánuco-Quisqui"|FALSE|"2"|"0"|FALSE|TRUE|5|50|0|49|2|0.1471|120|37.200001|1|1|1|7|1|8|"2"
"1049"|2|1|2|1|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|FALSE|TRUE|5|45|0|42|2|2.0594001|3042|385.95001|2|2|2|9|0|9|"2"
"1052"|6|1|5|3|1|"Huánuco-Quisqui"|TRUE|"1"|"1"|FALSE|FALSE|2|49|1|49|1|2|750|0|2|1|1|9|0|9|"3"
"1055"|3|2|3|2|1|"Huánuco-Quisqui"|FALSE|"2"|"3"|TRUE|TRUE|4|41|1|37|2|1|250|31|2|1|1|7|6|13|"1"
"1058"|2|1|2|1|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|TRUE|9|46|0|30|3|5.2941999|10|0|2|2|1|0|0|0|"1"
"1066"|3|1|3|1|2|"Huánuco-Quisqui"|FALSE|"0"|"3"|TRUE|TRUE|9|64|1|27|1|0|0|0|1|1|0|9|0|9|"1"
"1067"|2|1|2|1|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|3|39|0|39|2|2.0594001|1050|0|3|3|3|8|0|8|"2"
"1068"|4|2|4|3|2|"Huánuco-Quisqui"|FALSE|"0"|"0"|FALSE|FALSE|4|40|0|31|1|1.1768|575|0|2|1|2|0|4|4|"2"
"1070"|1|1|1|2|1|"Huánuco-Quisqui"|TRUE|"1"|"4"|FALSE|TRUE|7|41|0|41|1|0.055|420|15.5|2|2|3|0|2|2|"1"
"1071"|1|1|1|1|1|"Huánuco-Quisqui"|TRUE|"0"|"0"|FALSE|TRUE|6|44|2|44|3|0.30000001|0|0|1|1|0|0|6|6|"3"
"1073"|1|1|1|1|1|"Huánuco-Quisqui"|FALSE|"1"|"4"|FALSE|FALSE|3|53|1|35|1|0.58840001|0|0|2|1|1|0|4|4|"1"
"1117"|4|2|4|3|4|"Huánuco-Quisqui"|FALSE|"1"|"4"|FALSE|TRUE|10|57|0|19|2|2|4250|697.5|1|1|4|0|4|4|"1"
"1122"|1|1|1|2|1|"Huánuco-Quisqui"|FALSE|"1"|"4"|FALSE|FALSE|2|22|0|27|1|0.2942|0|0|1|1|0|0|2|2|"1"
"1124"|5|2|5|3|1|"Huánuco-Quisqui"|FALSE|"1"|"3"|FALSE|FALSE|3|58|0|46|2|2|1250|179.8|1|1|3|6|3|11|"2"
"1125"|7|3|7|2|1|"Huánuco-Quisqui"|FALSE|"1"|"0"|FALSE|FALSE|4|66|0|46|1|0.3242|975|0|2|2|2|4|5|9|"2"
"1126"|11|4|11|6|3|"Huánuco-Quisqui"|FALSE|"1"|"0"|TRUE|TRUE|3|40|0|43|1|0.375|1800|465|2|2|3|3|1|4|"2"
"1127"|5|2|5|2|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|FALSE|FALSE|4|35|0|33|1|1.5|2300|139.50002|2|2|1|0|0|0|"2"
"1128"|4|1|4|2|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|FALSE|FALSE|5|46|1|40|1|4|8980|387.965|2|1|8|0|0|0|"2"
"1131"|1|1|1|1|1|"Huánuco-Quisqui"|TRUE|"3"|"1"|FALSE|TRUE|3|49|0|49|2|0.58840001|0|0|1|1|0|11|2|15|"3"
"1132"|2|1|2|1|1|"Huánuco-Quisqui"|FALSE|"2"|"3"|FALSE|FALSE|4|49|0|36|1|1.7652|1160|297.60001|2|2|5|6|5|11|"2"
"1136"|4|3|4|2|3|"Huánuco-Quisqui"|FALSE|"1"|"1"|TRUE|TRUE|4|52|0|42|2|2.25|1020|81.375|4|4|3|11|6|17|"2"
"1141"|3|1|3|1|1|"Huánuco-Quisqui"|TRUE|"2"|"3"|FALSE|TRUE|3|26|0|26|2|0.0049999999|100|0|1|1|1|4|0|4|"1"
"1142"|6|3|6|2|1|"Huánuco-Quisqui"|FALSE|"1"|"4"|FALSE|TRUE|8|53|2|47|1|0|0|0|1|1|0|11|5|16|"1"
"1143"|7|2|7|2|1|"Huánuco-Quisqui"|FALSE|"0"|"4"|FALSE|FALSE|6|50|1|36|2|2.1768|0|0|3|1|1|15|6|25|"1"
"1145"|4|1|4|1|1|"Huánuco-Quisqui"|FALSE|"1"|"4"|TRUE|FALSE|3|52|1|23|1|0.58840001|975|17.4375|2|2|1|0|2|2|"1"
"1149"|2|1|2|2|1|"Huánuco-Quisqui"|FALSE|"0"|"1"|TRUE|TRUE|2|28|0|40|2|1.471|0|0|2|2|0|8|5|13|"1"
"1150"|2|2|2|3|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|FALSE|5|58|0|43|3|1.5|590|93|2|2|4|0|2|2|"2"
"1151"|2|2|2|1|1|"Huánuco-Quisqui"|FALSE|"1"|"4"|FALSE|TRUE|5|50|0|21|2|6|1325|100.75|1|1|3|7|0|7|"1"
"1154"|2|2|2|1|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|FALSE|FALSE|7|35|2|25|1|1.1471|250|0|2|2|1|8|4|12|"2"
"1156"|5|2|5|1|1|"Huánuco-Quisqui"|FALSE|"1"|"2"|FALSE|FALSE|7|54|0|22|1|0.58840001|810|0|2|2|4|13|0|13|"2"
"1157"|5|3|5|2|1|"Huánuco-Quisqui"|FALSE|"1"|"4"|TRUE|FALSE|5|30|2|26|3|1.8826001|13250|1705|3|3|2|7|1|9|"2"
"1160"|2|3|2|1|3|"Huánuco-Quisqui"|FALSE|"1"|"4"|FALSE|FALSE|7|45|1|20|1|0.1471|0|0|1|1|0|10|0|10|"2"
"1166"|3|5|3|3|1|"Huánuco-Quisqui"|FALSE|"1"|"1"|FALSE|TRUE|5|40|1|34|2|0.0625|70|27.9|1|1|3|3|0|3|"1"
"1170"|6|2|6|3|1|"Huánuco-Quisqui"|FALSE|"1"|"0"|FALSE|FALSE|4|39|0|37|2|1|2025|186|1|1|3|0|1|1|"2"
