variable|n_species|n_ecosystems|autoconsumption|n_preparations|n_Agr_pract|hhsize|headage|numchildren|age|num_emp|area|ch|ced|l_fields|m_fields|cd_field|cd_garden|cd_tree|cd_gardentree
n_species|1|0.539494146766631|0.996594497594269|0.428027655263033|0.0202004299455684|-0.00015477529949196|-0.166400851189388|0.0795118175881488|0.0292933282510166|-0.108468462912397|-0.0737243598260682|-0.0133990119503496|0.00474465444315348|-0.0646005725851283|-0.0407858521438059|0.0984291228906856|0.0297665139682982|-0.174214238117803|-0.0657787548708321
n_ecosystems|0.539494146766631|1|0.547992220146751|0.262475626303157|0.104950617103169|-0.0232181633025187|-0.0923449599481031|0.0656796640021299|0.0605176856952365|-0.13689155926604|-0.101880165740309|-0.063760968000881|-0.0396331612113778|-0.0172344163199621|0.0109725157049798|0.0797744992207831|-0.0991800772457903|-0.14535801283488|-0.132281736518843
autoconsumption|0.996594497594269|0.547992220146751|1|0.439416847894298|0.0246656138665422|-0.019692994731978|-0.173242101762616|0.0698425820345822|0.0409444859547283|-0.0957416693865295|-0.0706664327136838|-0.0194148665980401|0.00853569227926316|-0.0631637052442723|-0.0396903102044564|0.0970536328023866|0.0307428915156283|-0.174153438789102|-0.0645378804729793
n_preparations|0.428027655263033|0.262475626303157|0.439416847894298|1|0.0912512758531103|0.114372921112035|-0.133140118157735|0.183604171196921|0.0392581984037164|0.0546131988744548|-0.0711109256761379|-0.140784563712915|-0.142642001120438|-0.0886873621297355|-0.124759037653736|0.0144620655713478|-0.0384174497846559|-0.0476888930476478|-0.0522103377178555
n_Agr_pract|0.0202004299455684|0.104950617103169|0.0246656138665422|0.0912512758531103|1|-0.0435884660700556|-0.0513405383212519|0.0709304987176599|-0.0511894559264181|-0.0140938657822593|-0.0161873251414653|-0.0885230009444058|-0.0295163761031393|-0.112332007689538|-0.125752446470327|-0.0816849279678047|-0.0467953873936926|-0.0360763652737343|-0.0381816463815221
hhsize|-0.00015477529949196|-0.0232181633025187|-0.019692994731978|0.114372921112035|-0.0435884660700556|1|0.371174115194276|0.516176545079706|-0.120397547823909|0.0137683328361891|0.0379610303513504|-0.02081780834883|-0.032910984842004|-0.120455958795456|-0.112915498578852|-0.0458773288734705|0.152925506226357|0.237935593920016|0.232349190049669
headage|-0.166400851189388|-0.0923449599481031|-0.173242101762616|-0.133140118157735|-0.0513405383212519|0.371174115194276|1|0.128313332111024|-0.0254365484282349|0.105684946070486|-0.0383541453126889|-0.117981448699377|-0.130407749768722|0.0243161821998098|0.0239503642340514|-0.0272884835507379|0.298580589647077|0.0507237124334485|0.257068025484081
numchildren|0.0795118175881488|0.0656796640021299|0.0698425820345822|0.183604171196921|0.0709304987176599|0.516176545079706|0.128313332111024|1|-0.150998935972919|-0.0887650571799446|-0.183792921206117|-0.205034090769264|-0.176661800655873|-0.0854888136997976|-0.111080271624113|-0.157861453067417|-0.00540309658104739|0.14027954378844|0.0810495666795494
age|0.0292933282510166|0.0605176856952365|0.0409444859547283|0.0392581984037164|-0.0511894559264181|-0.120397547823909|-0.0254365484282349|-0.150998935972919|1|0.000919233825954846|0.217265864547539|0.0915372072333404|0.0528858442008534|0.145420046701792|0.138196092006565|0.0459279957117018|0.122208196508405|0.0275350674732445|0.117896088419481
num_emp|-0.108468462912397|-0.13689155926604|-0.0957416693865295|0.0546131988744548|-0.0140938657822593|0.0137683328361891|0.105684946070486|-0.0887650571799446|0.000919233825954846|1|-0.11020854315646|-0.0584881602612514|-0.0130082780658451|0.00414323540651306|0.00282899297993336|0.146184143643051|0.246951011886432|0.0112950102186436|0.184649938152942
area|-0.0737243598260682|-0.101880165740309|-0.0706664327136838|-0.0711109256761379|-0.0161873251414653|0.0379610303513504|-0.0383541453126889|-0.183792921206117|0.217265864547539|-0.11020854315646|1|0.785714154495587|0.578346221348012|0.119265733248971|0.142888661552108|0.191487010915264|0.0829594620279778|-0.0213649472022363|0.0497436963804046
ch|-0.0133990119503496|-0.063760968000881|-0.0194148665980401|-0.140784563712915|-0.0885230009444058|-0.02081780834883|-0.117981448699377|-0.205034090769264|0.0915372072333404|-0.0584881602612514|0.785714154495587|1|0.836591034318102|0.12165828131654|0.15467086398335|0.355392973564136|0.0513427357253091|-0.112601260806276|-0.0254188752284885
ced|0.00474465444315348|-0.0396331612113778|0.00853569227926316|-0.142642001120438|-0.0295163761031393|-0.032910984842004|-0.130407749768722|-0.176661800655873|0.0528858442008534|-0.0130082780658451|0.578346221348012|0.836591034318102|1|0.156618357566265|0.176023995868207|0.305368016544606|0.0896084590562445|-0.0596438189733473|0.0239741676203898
l_fields|-0.0646005725851283|-0.0172344163199621|-0.0631637052442723|-0.0886873621297355|-0.112332007689538|-0.120455958795456|0.0243161821998098|-0.0854888136997976|0.145420046701792|0.00414323540651306|0.119265733248971|0.12165828131654|0.156618357566265|1|0.960433807064662|0.287963862708318|0.146271217957329|0.00659181654960623|0.108747448315088
m_fields|-0.0407858521438059|0.0109725157049798|-0.0396903102044564|-0.124759037653736|-0.125752446470327|-0.112915498578852|0.0239503642340514|-0.111080271624113|0.138196092006565|0.00282899297993336|0.142888661552108|0.15467086398335|0.176023995868207|0.960433807064662|1|0.271420180865828|0.167004533979349|0.0360846362851354|0.136628959999165
cd_field|0.0984291228906856|0.0797744992207831|0.0970536328023866|0.0144620655713478|-0.0816849279678047|-0.0458773288734705|-0.0272884835507379|-0.157861453067417|0.0459279957117018|0.146184143643051|0.191487010915264|0.355392973564136|0.305368016544606|0.287963862708318|0.271420180865828|1|0.188672694314923|-0.0487108996219802|0.115195623313528
cd_garden|0.0297665139682982|-0.0991800772457903|0.0307428915156283|-0.0384174497846559|-0.0467953873936926|0.152925506226357|0.298580589647077|-0.00540309658104739|0.122208196508405|0.246951011886432|0.0829594620279778|0.0513427357253091|0.0896084590562445|0.146271217957329|0.167004533979349|0.188672694314923|1|0.226086148093853|0.875298387257733
cd_tree|-0.174214238117803|-0.14535801283488|-0.174153438789102|-0.0476888930476478|-0.0360763652737343|0.237935593920016|0.0507237124334485|0.14027954378844|0.0275350674732445|0.0112950102186436|-0.0213649472022363|-0.112601260806276|-0.0596438189733473|0.00659181654960623|0.0360846362851354|-0.0487108996219802|0.226086148093853|1|0.652639160572704
cd_gardentree|-0.0657787548708321|-0.132281736518843|-0.0645378804729793|-0.0522103377178555|-0.0381816463815221|0.232349190049669|0.257068025484081|0.0810495666795494|0.117896088419481|0.184649938152942|0.0497436963804046|-0.0254188752284885|0.0239741676203898|0.108747448315088|0.136628959999165|0.115195623313528|0.875298387257733|0.652639160572704|1
