variable|n_species|n_ecosystems|autoconsumption|n_preparations|n_Agr_pract|hhsize|headage|numchildren|age|num_emp|area|ch|ced|l_fields|m_fields|cd_field|cd_garden|cd_tree|cd_gardentree
n_species|1|0.346902612607404|0.998267231826625|0.363752186130477|0.337429920788253|0.100932728460754|0.0712128385870721|0.0498915902532161|0.307813245723119|0.0161001734732722|-0.0232508579450624|0.116700344598271|0.18082935751563|0.0274310605850594|0.0284240937299325|0.130933412926948|0.157093144889787|-0.133285783106199|0.119555607613165
n_ecosystems|0.346902612607404|1|0.346253921743368|0.367644861263833|0.228263159643341|0.039748409446993|0.186170796950707|0.0197793009769081|0.0705166176587134|0.0130049114380892|-0.151445659668719|0.0415539194464087|0.010346102776589|0.0855303175717841|0.157028594250168|0.0300779325235621|0.0586548920040307|-0.0617082350274252|0.0341133575959646
autoconsumption|0.998267231826625|0.346253921743368|1|0.368024126050818|0.317403081478223|0.108208173305854|0.0580997601263956|0.0397844595120417|0.305466252346734|0.0165794924458771|-0.0249434655379336|0.118010280725438|0.175468916918457|0.0314092827276975|0.0354649703649335|0.131913724121749|0.150358953071366|-0.133943885158807|0.112863336799014
n_preparations|0.363752186130477|0.367644861263833|0.368024126050818|1|0.00742034725323946|-0.0545666981163699|0.0975770550564193|-0.13954632450576|0.22199987425961|-0.0403401937985628|-0.0233749308206112|0.234417968719936|0.189586465266026|0.0119935845414911|0.0755517720527392|0.102051550132265|-0.138421519353971|-0.0736590683624021|-0.135601933255934
n_Agr_pract|0.337429920788253|0.228263159643341|0.317403081478223|0.00742034725323946|1|0.191881367811867|0.205433291621981|0.0594165832496934|-0.0944462792417405|0.0328712763129587|-0.0278150042217602|-0.0440224407854298|0.0801894537355566|-0.0457330051573515|-0.0314302573795458|0.0766468467798845|0.0522180384214735|0.0950752001712997|0.104866723083704
hhsize|0.100932728460754|0.039748409446993|0.108208173305854|-0.0545666981163699|0.191881367811867|1|0.211547628855875|0.339411386910516|-0.0968097110089562|0.062011642975317|0.00756842962442641|0.160661686576544|0.186511703346866|-0.113858383579487|-0.153153790964856|0.158840022760768|-0.00803491016650186|0.0229791825376793|0.00613570012626828
headage|0.0712128385870721|0.186170796950707|0.0580997601263956|0.0975770550564193|0.205433291621981|0.211547628855875|1|-0.132082444827844|0.315354921576073|-0.135650290237498|0.00416765126678416|-0.0916554866599445|0.0247438353580078|0.000309164948342171|-0.0297919649557142|0.0671690372677826|0.0428460072489696|0.161397230433202|0.116072617930488
numchildren|0.0498915902532161|0.0197793009769081|0.0397844595120417|-0.13954632450576|0.0594165832496934|0.339411386910516|-0.132082444827844|1|-0.171558402359209|-0.0720019663024897|0.00377365520025923|0.135481786743938|0.108773916789875|-0.0303796544273204|-0.159851259445751|0.0892158846363926|0.180635667242248|0.151097969168428|0.211922518247716
age|0.307813245723119|0.0705166176587134|0.305466252346734|0.22199987425961|-0.0944462792417405|-0.0968097110089562|0.315354921576073|-0.171558402359209|1|0.0436346069741631|0.0150798330138942|-0.027559323041853|0.0345535413793772|0.0543906520932785|0.0700392569527179|0.171326514354155|0.0848020927446714|0.0670756902454215|0.109188493143271
num_emp|0.0161001734732722|0.0130049114380892|0.0165794924458771|-0.0403401937985628|0.0328712763129587|0.062011642975317|-0.135650290237498|-0.0720019663024897|0.0436346069741631|1|0.0276061531097243|0.150693641330242|0.179224387247144|0.086836059768152|0.121468953187983|-0.0849543896740872|0.044783217378878|0.00715440987365509|0.074287831901016
area|-0.0232508579450624|-0.151445659668719|-0.0249434655379336|-0.0233749308206112|-0.0278150042217602|0.00756842962442641|0.00416765126678416|0.00377365520025923|0.0150798330138942|0.0276061531097243|1|0.181708908807295|0.150087470651838|0.342926954560406|0.211916993666025|0.258161439875427|0.0119942167485099|-0.0618959938442057|-0.0216359926764643
ch|0.116700344598271|0.0415539194464087|0.118010280725438|0.234417968719936|-0.0440224407854298|0.160661686576544|-0.0916554866599445|0.135481786743938|-0.027559323041853|0.150693641330242|0.181708908807295|1|0.9181658560595|0.220691283492343|0.29432380961314|0.168080711917595|-0.0970006839913606|0.0238617248724207|-0.0815394697754895
ced|0.18082935751563|0.010346102776589|0.175468916918457|0.189586465266026|0.0801894537355566|0.186511703346866|0.0247438353580078|0.108773916789875|0.0345535413793772|0.179224387247144|0.150087470651838|0.9181658560595|1|0.141484850931447|0.226557197967401|0.0527971352687877|-0.0910311493148447|0.0984804660412337|-0.0410951692741288
