variable|n_species|n_ecosystems|autoconsumption|n_preparations|n_Agr_pract|hhsize|headage|numchildren|age|num_emp|area|ch|ced|l_fields|m_fields|cd_field|cd_garden|cd_tree|cd_gardentree
n_species|1|0.268592053264399|0.996658785669602|0.567288664021393|0.309940852931233|0.107696308743875|-0.0122752609607066|0.0700311985252647|0.0466540323040498|-0.116834053436374|0.0480323109308374|0.16375487551489|0.195354737079135|0.027054851000827|-0.0456880314623438|0.0176521132133992|0.152293290690906|-0.0954401731753082|0.0912242909010012
n_ecosystems|0.268592053264399|1|0.272191771532977|0.324915672087495|0.100909907549444|-0.0483293591015381|-0.0394942534431384|-0.0861055750376378|-0.0147006201145043|-0.187264789212806|0.015714817597886|0.14866035466026|0.136358793789226|0.207542624181953|0.204627329931811|0.00366580630445653|0.125282275273165|0.159663180804252|0.177454180006485
autoconsumption|0.996658785669602|0.272191771532977|1|0.576540653895511|0.310032861355952|0.113759531549649|-0.0102161415110901|0.0739998544149219|0.049996850140026|-0.121856723168934|0.0442903252448959|0.146939440385259|0.166817832239754|0.0287005937082316|-0.0451933400862192|0.0120789827026758|0.158850717207131|-0.0904881748488313|0.0987730255507693
n_preparations|0.567288664021393|0.324915672087495|0.576540653895511|1|0.256906280006793|0.0772435385979987|0.0314846173580714|0.0485122948282352|0.156974349443885|-0.222955826745798|0.0643335291620275|0.00715942170003882|-0.0415002387694823|0.0777365335002961|0.0835059180515579|0.133615563977058|0.160522314174173|0.090294305669094|0.175924204583725
n_Agr_pract|0.309940852931233|0.100909907549444|0.310032861355952|0.256906280006793|1|-0.0585135534696023|-0.0159257074423526|-0.214217455012284|0.0848734068233356|-0.220027581819041|0.0191696200158489|0.0338612491054784|0.0017679241466659|0.118167768569623|0.0174874928244354|0.142822362751824|0.0428668444564286|-0.0373655775810423|0.0102454910577537
hhsize|0.107696308743875|-0.0483293591015381|0.113759531549649|0.0772435385979987|-0.0585135534696023|1|0.360834187349984|0.301397177106172|0.166951952754514|-0.0329369808836367|0.0854267065237097|-0.0701255340850531|-0.059015016116058|0.0742015573880581|0.0575413238656136|0.1021491818149|0.121526592296786|0.0587921646243313|0.122752042606761
headage|-0.0122752609607066|-0.0394942534431384|-0.0102161415110901|0.0314846173580714|-0.0159257074423526|0.360834187349984|1|-0.195882803026414|0.542203630070187|0.158623550494633|-0.0951846260669677|-0.167512347599603|-0.201123400130455|-0.123592806007671|-0.136393346988036|0.0828994290013052|0.182352909697733|0.210451150265794|0.257325483665849
numchildren|0.0700311985252647|-0.0861055750376378|0.0739998544149219|0.0485122948282352|-0.214217455012284|0.301397177106172|-0.195882803026414|1|-0.250862966088336|-0.0700064540174833|0.131321148600361|-0.0359776799783157|0.0205678730581605|0.0386584516821008|0.104098229329887|-0.080702098546259|0.0139031336494529|-0.178457992935843|-0.0694582855211176
age|0.0466540323040498|-0.0147006201145043|0.049996850140026|0.156974349443885|0.0848734068233356|0.166951952754514|0.542203630070187|-0.250862966088336|1|-0.0676507598001274|-0.108652894415223|-0.118973599310099|-0.175465962441053|-0.0389111808558275|-0.00439877436260541|0.223195532449114|0.187770529845297|0.318826146621042|0.291168829521506
num_emp|-0.116834053436374|-0.187264789212806|-0.121856723168934|-0.222955826745798|-0.220027581819041|-0.0329369808836367|0.158623550494633|-0.0700064540174833|-0.0676507598001274|1|-0.114931196245132|-0.0594291529535869|-0.039099636450199|-0.0904207899223417|-0.0512594065039035|0.0589873234492638|-0.0183241712533511|-0.1063013196951|-0.0505268884482086
