region,n_species,n_ecosystems,Sell,autoconsumption,O_uses,n_preparations,n_Agr_pract,headsex,elcsa_cat,edu,assistance,nonaginc,hhsize,age,wealthindex,num_emp,inc,area,l_fields,m_fields,cd_field,cd_garden,cd_tree,cd_gardentree
1008,Huánuco-Quisqui,1,1,0,1,0,2,1,0,1,4,0,0,4,19,0.57453322,1,2000,3,1,1,3,1,4,6
1021,Huánuco-Quisqui,1,1,0,1,0,2,1,0,3,4,0,0,7,19,0.41189378,1,2000,2,1,1,2,0,0,0
1031,Huánuco-Quisqui,2,2,0,2,0,3,1,0,2,0,0,1,5,49,0.76492536,2,11000,0.1471,1,1,1,7,1,8
1049,Huánuco-Quisqui,2,1,0,2,0,1,1,0,1,2,0,1,5,42,0.70151359,2,1100,2.0594001,2,2,2,9,0,9
1052,Huánuco-Quisqui,6,1,1,5,0,3,1,1,1,1,0,0,2,49,-0.90965116,1,1000,2,2,1,1,9,0,9
1055,Huánuco-Quisqui,3,2,0,3,0,2,1,0,2,3,1,1,4,37,1.047951,2,5000,1,2,1,1,7,6,13
1058,Huánuco-Quisqui,2,1,0,2,0,1,1,0,1,1,0,1,9,30,0.35532042,3,3500,5.2941999,2,2,1,0,0,0
1066,Huánuco-Quisqui,3,1,0,3,0,1,2,0,0,3,1,1,9,27,1.8738199,1,1200,0,1,1,0,9,0,9
1067,Huánuco-Quisqui,2,1,0,2,0,1,1,0,1,1,0,0,3,39,0.41622168,2,540,2.0594001,3,3,3,8,0,8
1068,Huánuco-Quisqui,4,2,0,4,0,3,2,0,0,0,0,0,4,31,-0.55426645,1,400,1.1768,2,1,2,0,4,4
1070,Huánuco-Quisqui,1,1,0,1,0,2,1,1,1,4,0,1,7,41,0.98040152,1,12000,0.055,2,2,3,0,2,2
1071,Huánuco-Quisqui,1,1,0,1,0,1,1,1,0,0,0,1,6,44,1.7152163,3,2700,0.30000001,1,1,0,0,6,6
1073,Huánuco-Quisqui,1,1,0,1,0,1,1,0,1,4,0,0,3,35,0.89096111,1,2000,0.58840001,2,1,1,0,4,4
1117,Huánuco-Quisqui,4,2,0,4,0,3,4,0,1,4,0,1,10,19,0.082790628,2,12500,2,1,1,4,0,4,4
1122,Huánuco-Quisqui,1,1,0,1,0,2,1,0,1,4,0,0,2,27,-0.55426645,1,1000,0.2942,1,1,0,0,2,2
1124,Huánuco-Quisqui,5,2,0,5,0,3,1,0,1,3,0,0,3,46,2.1904433,2,500,2,1,1,3,6,3,11
1125,Huánuco-Quisqui,7,3,0,7,0,2,1,0,1,0,0,0,4,46,-0.060267974,1,800,0.3242,2,2,2,4,5,9
1126,Huánuco-Quisqui,11,4,0,11,0,6,3,0,1,0,1,1,3,43,-0.90965116,1,500,0.375,2,2,3,3,1,4
1127,Huánuco-Quisqui,5,2,0,5,0,2,1,0,1,2,0,0,4,33,-0.5137623,1,2500,1.5,2,2,1,0,0,0
1128,Huánuco-Quisqui,4,1,0,4,0,2,1,0,1,2,0,0,5,40,-0.53171867,1,1000,4,2,1,8,0,0,0
1131,Huánuco-Quisqui,1,1,0,1,0,1,1,1,3,1,0,1,3,49,-0.43846887,2,2600,0.58840001,1,1,0,11,2,15
1132,Huánuco-Quisqui,2,1,0,2,0,1,1,0,2,3,0,0,4,36,0.6517306,1,1000,1.7652,2,2,5,6,5,11
1136,Huánuco-Quisqui,4,3,0,4,0,2,3,0,1,1,1,1,4,42,0.24924891,2,3400,2.25,4,4,3,11,6,17
1141,Huánuco-Quisqui,3,1,0,3,0,1,1,1,2,3,0,1,3,26,-0.77441043,2,800,0.0049999999,1,1,1,4,0,4
1142,Huánuco-Quisqui,6,3,0,6,0,2,1,0,1,4,0,1,8,47,-0.37192875,1,1176,0,1,1,0,11,5,16
1143,Huánuco-Quisqui,7,2,0,7,0,2,1,0,0,4,0,0,6,36,1.0984973,2,330,2.1768,3,1,1,15,6,25
1145,Huánuco-Quisqui,4,1,0,4,0,1,1,0,1,4,1,0,3,23,-0.25761452,1,98,0.58840001,2,2,1,0,2,2
1149,Huánuco-Quisqui,2,1,0,2,0,2,1,0,0,1,1,1,2,40,0.31043708,2,6600,1.471,2,2,0,8,5,13
1150,Huánuco-Quisqui,2,2,0,2,0,3,1,0,1,1,0,0,5,43,0.32673222,3,900,1.5,2,2,4,0,2,2
1151,Huánuco-Quisqui,2,2,0,2,0,1,1,0,1,4,0,1,5,21,0.38702002,2,6680,6,1,1,3,7,0,7
1154,Huánuco-Quisqui,2,2,0,2,0,1,1,0,1,2,0,0,7,25,-0.41902572,1,3000,1.1471,2,2,1,8,4,12
1156,Huánuco-Quisqui,5,2,0,5,0,1,1,0,1,2,0,0,7,22,-0.90965116,1,1000,0.58840001,2,2,4,13,0,13
1157,Huánuco-Quisqui,5,3,0,5,0,2,1,0,1,4,1,0,5,26,0.23894426,3,1770,1.8826001,3,3,2,7,1,9
1160,Huánuco-Quisqui,2,3,0,2,0,1,3,0,1,4,0,0,7,20,-0.20391952,1,500,0.1471,1,1,0,10,0,10
1166,Huánuco-Quisqui,3,5,0,3,0,3,1,0,1,1,0,1,5,34,-0.34676802,2,8900,0.0625,1,1,3,3,0,3
